PLAYER,TEAM,GP,MP,GV-MP,GRAV,PERIM_GV-MP,PERIM_GRAV,INTERIOR_GV-MP,INTERIOR_GRAV,OFF_POS_PERIM_GV-MP,OFF_POS_PERIM_GRAV,OFF_POS_INTERIOR_GV-MP,OFF_POS_INTERIOR_GRAV,PTS,REB,AST
Keon Ellis,CLE,71,20.5,334.2,1.6,23.3,-1.3,6.3,-15.2,251.3,3.0,53.4,-10.2,6.7,1.9,1.0
Ochai Agbaji,BKN,60,15.5,229.2,1.6,11.6,-4.4,4.9,-7.8,157.6,3.6,55.1,-10.6,4.9,2.2,0.7
Jarace Walker,IND,75,25.7,468.5,1.6,53.7,3.6,16.7,-8.3,336.9,3.0,61.2,-8.0,11.7,5.1,2.5
Patrick Williams,CHI,71,20.4,335.6,1.6,29.8,0.5,14.6,-6.5,241.2,2.8,50.0,-7.5,6.9,3.0,1.4
Ben Sheppard,IND,64,21.4,338.7,1.6,34.1,0.4,6.4,-9.8,243.3,2.9,54.9,-6.3,7.1,3.0,1.8
Naz Reid,MIN,76,26.2,443.1,1.5,39.2,4.3,20.3,-4.0,296.2,1.9,87.4,-3.8,13.7,6.2,2.2
Justin Edwards,PHI,62,15.6,221.7,1.4,21.2,0.0,4.7,-8.6,163.8,2.3,32.1,-6.8,6.2,1.5,1.3
Harrison Barnes,SAS,76,25.8,446.4,1.3,39.9,-1.9,14.2,-10.1,300.3,3.3,92.0,-10.1,9.9,2.7,1.9
Ayo Dosunmu,MIN,68,27.3,419.3,1.1,78.6,-0.7,20.4,-10.5,281.3,3.0,39.0,-9.0,14.8,3.5,3.6
Josh Green,CHA,57,15.7,232.4,1.1,8.0,-8.1,3.0,-18.6,185.4,2.2,36.0,-15.8,4.3,1.8,0.8
Rayan Rupert,MEM,64,16.7,246.5,1.0,13.9,-3.2,8.2,-7.5,176.2,2.9,48.3,-8.8,5.2,2.9,1.1
Nique Clifford,SAC,75,25.1,419.1,1.0,56.7,-1.4,16.0,-11.6,299.8,2.8,46.7,-9.2,8.6,3.8,2.4
Nikola Jokić,DEN,64,34.8,525.5,1.0,110.2,2.8,70.9,-8.9,196.9,4.3,147.5,-4.0,27.7,12.8,10.8
Jose Alvarado,NYK,69,19.9,351.5,1.0,99.7,-0.2,12.5,-19.1,205.4,3.4,33.9,-12.7,7.4,2.5,3.4
Terance Mann,BKN,63,24.3,382.1,1.0,71.5,-2.4,17.7,-18.1,234.2,4.2,58.8,-13.6,7.2,3.2,3.0
Tre Jones,CHI,64,26.9,394.1,1.0,93.6,0.8,31.9,-13.8,227.6,3.8,40.9,-11.2,14.1,3.1,5.3
Justin Champagnie,WAS,66,20.3,323.3,0.9,17.6,1.3,8.5,-8.5,215.0,2.9,82.2,-7.5,8.7,5.6,1.25
Keldon Johnson,SAS,81,23.4,444.0,0.9,36.3,-1.6,23.9,-5.7,304.1,2.7,79.7,-4.2,13.2,5.3,1.4
Drake Powell,BKN,63,20.9,319.2,0.9,41.9,-1.7,9.5,-16.6,228.0,3.0,39.8,-12.7,6.5,1.8,1.4
Bam Adebayo,MIA,72,32.2,504.2,0.8,47.7,-1.6,48.4,-9.5,212.0,4.0,196.0,-6.4,19.2,10.0,3.2
Sidy Cissoko,POR,75,19.1,357.2,0.7,25.5,-1.2,9.9,-14.2,255.4,2.0,66.4,-12.6,5.1,2.2,1.5
Dean Wade,CLE,58,22.3,295.6,0.7,16.2,2.5,6.1,-13.5,212.7,2.2,60.5,-9.2,5.8,4.2,1.5
Tobias Harris,DET,61,27.6,394.0,0.7,41.7,0.5,26.5,-9.7,247.3,2.9,78.5,-7.9,13.1,5.2,2.5
Dennis Schröder,CLE,70,24.2,399.9,0.6,126.3,-0.9,24.4,-17.6,217.4,4.0,31.8,-12.1,10.8,2.7,4.9
Tristan da Silva,ORL,75,24.7,430.0,0.6,34.7,0.4,10.9,-10.9,305.6,1.9,78.9,-9.4,9.9,3.7,1.6
Jake LaRavia,LAL,82,25.2,460.2,0.6,40.4,-2.5,13.8,-10.7,330.0,2.1,75.9,-8.9,8.2,4.0,1.8
Tyler Kolek,NYK,55,12.3,189.7,0.6,54.1,2.5,10.6,-18.5,102.8,3.3,22.2,-16.2,4.5,1.7,2.8
Zaccharie Risacher,ATL,67,22.4,372.1,0.6,23.8,-1.1,10.5,-12.6,268.2,2.0,69.6,-8.3,9.6,3.8,1.1
Tari Eason,HOU,60,25.9,364.2,0.6,26.6,-1.2,11.3,-10.9,277.4,2.0,48.8,-14.1,10.5,6.3,1.5
Miles Bridges,CHA,77,31.0,629.1,0.6,83.4,-1.0,29.8,-9.4,406.2,3.2,109.7,-10.6,17.1,5.8,3.2
Aaron Wiggins,OKC,64,21.9,317.1,0.5,47.8,-0.1,13.9,-12.7,200.2,2.9,55.3,-8.9,9.5,3.1,1.7
Dylan Harper,SAS,68,22.6,348.0,0.4,93.0,-0.1,25.8,-15.7,189.7,3.7,39.5,-13.3,11.8,3.4,3.9
